,id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hour,lat,lng
174,175,SK에너지,(주)안국에너지 망원동주유소,서울,마포구,서울 마포구 월드컵로 119 (망원동),1678,1618,1,1,0,0,0,0,37.55878200000000,126.90725260000000
175,176,S-OIL,에쓰오일(주)마포주유소,서울,마포구,서울 마포구 마포대로 186 (공덕동),1679,1629,0,1,0,0,0,0,37.55063050000000,126.95565110000000
176,177,S-OIL,에쓰오일(주) 염리동주유소,서울,마포구,서울 마포구 백범로 126 (염리동),1699,1649,0,1,0,0,0,0,37.54628630000000,126.94481370000000
177,178,현대오일뱅크,에스에스오토셀프,서울,마포구,서울 마포구 서강로 76 (창전동),1719,1669,0,1,0,0,0,1,37.54983370000000,126.93257240000000
178,179,SK에너지,(주)만성상사 대흥주유소,서울,마포구,서울 마포구 대흥로 61 (대흥동),1719,1669,1,1,0,0,0,1,37.54595480000000,126.93989910000000
179,180,SK에너지,SK에너지 양지주유소,서울,마포구,서울 마포구 마포대로 69 (도화동),1729,1679,1,0,0,0,1,1,37.53770020000000,126.94640300000000
180,181,SK에너지,SK에너지(주) 안국주유소,서울,마포구,서울 마포구 양화로 33,1729,1674,1,0,0,0,0,1,37.54930640000000,126.91262170000000
181,182,S-OIL,(주)미래아스팔트 신우주유소,서울,서대문구,서울 서대문구 가좌로 106(홍은동),1612,1572,0,1,0,1,0,0,37.58226560000000,126.92660010000000
182,183,S-OIL,(주)한화미 구도일주유소 두꺼비,서울,서대문구,서울 서대문구 성산로 312,1612,1572,0,1,0,1,0,0,37.56604510000000,126.92490550000000
183,184,현대오일뱅크,(주)가재울뉴타운주유소,서울,서대문구,서울 서대문구 모래내로 205,1612,1572,0,0,0,0,1,1,37.57326730000000,126.92243180000000
184,185,GS칼텍스,지에스칼텍스(주)홍제동주유소,서울,서대문구,서울 서대문구 통일로 372,1634,1589,0,1,0,0,0,0,37.58354950000000,126.95013180000000
185,186,SK에너지,중앙에너비스 동교지점,서울,서대문구,서울 서대문구 연희로 12 (창천동),1635,1595,0,0,0,0,1,0,37.55870150000000,126.93421390000000
186,187,SK에너지,삼미상사(주)서부주유소,서울,서대문구,서울 서대문구 성산로 255,1635,1595,0,1,0,1,1,0,37.56758950000000,126.91884730000000
187,188,SK에너지,행촌제2주유소,서울,서대문구,서울 서대문구 성산로 490 (대신동),1635,1595,0,1,0,0,1,1,37.56421990000000,126.94430960000000
188,189,현대오일뱅크,HD현대오일뱅크㈜직영 연세주유소,서울,서대문구,서울 서대문구 연희로 184,1635,1599,0,1,0,0,0,0,37.57346110000000,126.93591900000000
189,190,SK에너지,연희주유소,서울,서대문구,서울 서대문구 연희로 129 (연희동 89-7번지),1638,1598,1,1,0,0,1,0,37.56928600000000,126.93253130000000
190,191,SK에너지,광호주유소,서울,서대문구,서울 서대문구 연희로 266 (홍은동),1638,1598,1,1,0,0,0,0,37.58068540000000,126.93646340000000
191,192,S-OIL,㈜우남에너지 문화사랑주유소,서울,서대문구,서울 서대문구 세검정로 87 (홍제동),1639,1619,0,1,0,0,0,0,37.59551500000000,126.94855110000000
192,193,SK에너지,(주)안국에너지 삼보셀프주유소,서울,서대문구,서울 서대문구 연희로 78 (연희동),1639,1598,0,1,0,1,0,0,37.56500070000000,126.92993050000000
193,194,현대오일뱅크,HD현대오일뱅크㈜직영 독립문주유소,서울,서대문구,서울 서대문구 통일로 384 (홍제동),1649,1629,1,1,0,0,1,0,37.59317619999999,126.94673130000000
194,195,알뜰주유소,만남의광장주유소,서울,서초구,서울 서초구 양재대로12길 73-71,1558,1499,0,0,1,0,1,1,37.46008370000000,127.04216860000000
195,196,S-OIL,양재최고주유소,서울,서초구,서울 서초구 매헌로 72 (양재동),1645,1595,1,1,0,0,0,0,37.46715770000000,127.03471500000000
196,197,SK에너지,(주)대농석유 남태령주유소,서울,서초구,서울 서초구 과천대로 838 (방배동),1655,1575,0,1,0,0,0,0,37.46689580000000,126.98783190000000
197,198,S-OIL,서초하이웨이 주유소,서울,서초구,서울 서초구 양재대로2길 100-30,1657,1597,0,1,0,0,0,1,37.45729520000000,127.01621410000000
198,199,S-OIL,극동유화(주) 전당앞주유소,서울,서초구,서울 서초구 남부순환로 2391 (서초동),1665,1585,0,1,1,1,0,0,37.48055430000000,127.01182090000000
199,200,SK에너지,태봉셀프주유소,서울,서초구,서울 서초구 태봉로 117 (우면동),1669,1623,0,1,0,1,0,0,37.46827570000000,127.02817700000000
200,201,SK에너지,신반포주유소,서울,서초구,서울 서초구 사평대로 94 (반포동),1669,1623,0,1,0,0,0,1,37.49839500000000,126.99480730000000
